DATE	HANDLES	WS	VM	COMMITSIZE
02/19/2015 08:10:16	257	116884	3021484	2827956
02/19/2015 08:10:17	259	275248	3378032	3183864
02/19/2015 08:10:17	259	276112	3378032	3184968
02/19/2015 08:10:17	259	275636	3378032	3184544
02/19/2015 08:10:17	259	275784	3378032	3184544
02/19/2015 08:10:17	259	275992	3379100	3184756
02/19/2015 08:10:17	259	276184	3379636	3185296
02/19/2015 08:10:17	259	281792	3394224	3190496
02/19/2015 08:10:17	259	283332	3394224	3190496
02/19/2015 08:10:17	259	283768	3394224	3190768
02/19/2015 08:10:17	259	284244	3394224	3191244
02/19/2015 08:10:17	259	284984	3394224	3191980
02/19/2015 08:10:17	259	285224	3394224	3192220
02/19/2015 08:10:17	259	285300	3394224	3192296
02/19/2015 08:10:17	259	285404	3394224	3192400
02/19/2015 08:10:17	259	285548	3394224	3192544
02/19/2015 08:10:18	259	285648	3394224	3192644
02/19/2015 08:10:18	259	286092	3394224	3193088
02/19/2015 08:10:18	259	286872	3394224	3193860
02/19/2015 08:10:18	259	287376	3394224	3194364
02/19/2015 08:10:18	259	287792	3394224	3194780
02/19/2015 08:10:18	259	288168	3394224	3195156
02/19/2015 08:10:18	259	288652	3394224	3195636
02/19/2015 08:10:18	259	289092	3394224	3196076
02/19/2015 08:10:18	259	290056	3394224	3197040
02/19/2015 08:10:18	259	290440	3394224	3197424
02/19/2015 08:10:18	259	290972	3394224	3197952
02/19/2015 08:10:18	259	291236	3394224	3198216
02/19/2015 08:10:18	259	291732	3394224	3198712
02/19/2015 08:10:18	259	291956	3394224	3198936
02/19/2015 08:10:18	259	292436	3394224	3199416
02/19/2015 08:10:19	259	293068	3394224	3200044
02/19/2015 08:10:19	259	293452	3394224	3200428
02/19/2015 08:10:19	259	293832	3394224	3200804
02/19/2015 08:10:19	259	294464	3394224	3201436
02/19/2015 08:10:19	259	294796	3394224	3201764
02/19/2015 08:10:19	259	296984	3396148	3203944
02/19/2015 08:10:19	259	296984	3396148	3203944
02/19/2015 08:10:19	259	297104	3396148	3204064
02/19/2015 08:10:19	259	297704	3396148	3204664
02/19/2015 08:10:19	259	298196	3396148	3205156
02/19/2015 08:10:19	259	298596	3396148	3205552
02/19/2015 08:10:19	259	298660	3396148	3205616
02/19/2015 08:10:19	259	299064	3396148	3206016
02/19/2015 08:10:19	259	299436	3396148	3206388
02/19/2015 08:10:20	259	300012	3396148	3206964
02/19/2015 08:10:20	259	300384	3412340	3207368
02/19/2015 08:10:20	259	300748	3412340	3207732
02/19/2015 08:10:20	259	301564	3412340	3208540
02/19/2015 08:10:20	259	301796	3412340	3208772
02/19/2015 08:10:20	259	302308	3412340	3209284
02/19/2015 08:10:20	259	302616	3412340	3209592
02/19/2015 08:10:20	259	303044	3412340	3210016
02/19/2015 08:10:20	259	303892	3412340	3210864
02/19/2015 08:10:20	259	304412	3412340	3211384
02/19/2015 08:10:20	259	304748	3412340	3211720
02/19/2015 08:10:20	259	305456	3412340	3212424
02/19/2015 08:10:20	259	305764	3412340	3212732
02/19/2015 08:10:21	259	306300	3412340	3213268
02/19/2015 08:10:21	259	306852	3412340	3213820
02/19/2015 08:10:21	259	309032	3414260	3215996
02/19/2015 08:10:21	259	309696	3414260	3216636
02/19/2015 08:10:21	259	310000	3414260	3216940
02/19/2015 08:10:21	259	310368	3414260	3217304
02/19/2015 08:10:21	259	310920	3414260	3217856
02/19/2015 08:10:21	259	311100	3414260	3218032
02/19/2015 08:10:21	259	311528	3414260	3218456
02/19/2015 08:10:21	259	311832	3414260	3218760
02/19/2015 08:10:21	259	311832	3414260	3218760
02/19/2015 08:10:21	259	312464	3414260	3219392
02/19/2015 08:10:21	259	312720	3414260	3219648
02/19/2015 08:10:21	259	313204	3414260	3220128
02/19/2015 08:10:22	259	313768	3414260	3220692
02/19/2015 08:10:22	259	314540	3414260	3221460
02/19/2015 08:10:22	259	315032	3414260	3221952
02/19/2015 08:10:22	259	315372	3414260	3222288
02/19/2015 08:10:22	259	316180	3414260	3223096
02/19/2015 08:10:22	259	316540	3414260	3223456
02/19/2015 08:10:22	259	317008	3414260	3223920
02/19/2015 08:10:22	259	317700	3414260	3224608
02/19/2015 08:10:22	259	317980	3414260	3224888
02/19/2015 08:10:22	259	318388	3430452	3225332
02/19/2015 08:10:22	259	318868	3430452	3225812
02/19/2015 08:10:22	259	319224	3430452	3226164
02/19/2015 08:10:22	259	319676	3430452	3226612
02/19/2015 08:10:22	259	320228	3430452	3227164
02/19/2015 08:10:23	259	321172	3430452	3228108
02/19/2015 08:10:23	259	321392	3430452	3228324
02/19/2015 08:10:23	259	321924	3430452	3228856
02/19/2015 08:10:23	259	322244	3430452	3229176
02/19/2015 08:10:23	259	322548	3430452	3229480
02/19/2015 08:10:23	259	323060	3430452	3229992
02/19/2015 08:10:23	259	323676	3430452	3230616
02/19/2015 08:10:23	259	324100	3430452	3231024
02/19/2015 08:10:23	259	324628	3430452	3231552
02/19/2015 08:10:23	259	325160	3430452	3232080
02/19/2015 08:10:23	259	325612	3430452	3232528
02/19/2015 08:10:23	259	326000	3430452	3232916
02/19/2015 08:10:23	259	326736	3430452	3233652
02/19/2015 08:10:23	259	327320	3430452	3234236
02/19/2015 08:10:23	259	327596	3430452	3234508
02/19/2015 08:10:24	259	327928	3430452	3234836
02/19/2015 08:10:24	259	328536	3430452	3235444
02/19/2015 08:10:24	259	329080	3430452	3235988
02/19/2015 08:10:24	259	329612	3430452	3236516
02/19/2015 08:10:24	259	330096	3430452	3236996
02/19/2015 08:10:24	259	330540	3430452	3237440
02/19/2015 08:10:24	259	331404	3430452	3238304
02/19/2015 08:10:24	259	335552	3434292	3242448
02/19/2015 08:10:24	259	336096	3434292	3242992
02/19/2015 08:10:24	259	336656	3434292	3243552
02/19/2015 08:10:24	259	336928	3434292	3243824
02/19/2015 08:10:24	259	337104	3434292	3244000
