DATE	HANDLES	WS	VM	COMMITSIZE
02/19/2015 08:04:11	369	148852	807588	566896
02/19/2015 08:04:11	369	154324	823780	572188
02/19/2015 08:04:11	850	156528	823780	573360
02/19/2015 08:04:11	1314	158772	823780	575604
02/19/2015 08:04:11	1882	161668	823780	578496
02/19/2015 08:04:11	2434	164476	823780	581300
02/19/2015 08:04:11	2858	166316	823780	583140
02/19/2015 08:04:11	3134	167860	839972	584700
02/19/2015 08:04:11	3406	169432	839972	586268
02/19/2015 08:04:11	3993	172444	839972	589292
02/19/2015 08:04:12	4810	176356	839972	593216
02/19/2015 08:04:12	5410	179240	839972	596064
02/19/2015 08:04:12	6050	181920	839972	598764
02/19/2015 08:04:12	8510	194664	857208	611536
02/19/2015 08:04:12	9074	197188	857208	614084
02/19/2015 08:04:12	9710	199824	857208	616708
02/19/2015 08:04:12	10306	202904	873400	619784
02/19/2015 08:04:12	10990	206144	873400	623000
02/19/2015 08:04:12	11726	209496	873400	626336
02/19/2015 08:04:12	12394	213160	873400	630068
02/19/2015 08:04:13	13166	216576	873400	633460
02/19/2015 08:04:13	13818	219740	889592	636644
02/19/2015 08:04:13	14530	223984	890632	640864
02/19/2015 08:04:13	15190	227112	890632	643968
02/19/2015 08:04:13	15854	230388	890632	647232
02/19/2015 08:04:13	16478	233024	890632	649848
02/19/2015 08:04:13	17114	236900	906824	653824
02/19/2015 08:04:13	17386	237912	906824	654816
02/19/2015 08:04:13	17866	240364	906824	657248
02/19/2015 08:04:13	18458	242812	906824	659816
02/19/2015 08:04:13	19006	245276	906824	662264
02/19/2015 08:04:13	19530	248096	906824	665072
02/19/2015 08:04:14	20170	250880	923016	667868
02/19/2015 08:04:14	20751	253868	923016	670840
02/19/2015 08:04:14	21314	256308	923016	673264
02/19/2015 08:04:14	21878	259400	923016	676336
02/19/2015 08:04:14	22442	262308	923016	679232
02/19/2015 08:04:14	23178	265180	923016	682080
02/19/2015 08:04:14	23910	269324	939208	686232
02/19/2015 08:04:14	24631	272332	939208	689224
02/19/2015 08:04:14	25246	274652	939208	691528
02/19/2015 08:04:14	25898	277584	939208	694440
02/19/2015 08:04:14	26481	280752	939208	697592
02/19/2015 08:04:14	27146	283800	955400	700852
02/19/2015 08:04:14	27800	288768	957480	705800
02/19/2015 08:04:15	28302	291364	957480	708376
02/19/2015 08:04:15	28922	294288	957480	711288
02/19/2015 08:04:15	29582	297416	957480	714392
02/19/2015 08:04:15	31087	303944	973672	720920
02/19/2015 08:04:15	31678	307108	973672	724072
02/19/2015 08:04:15	32299	310040	973672	726984
02/19/2015 08:04:15	32842	312408	973672	729336
02/19/2015 08:04:15	33382	316020	973672	733052
02/19/2015 08:04:15	34042	319160	989864	736216
02/19/2015 08:04:15	34638	321612	989864	738648
02/19/2015 08:04:15	35306	324464	989864	741480
02/19/2015 08:04:16	35854	327772	989864	744776
02/19/2015 08:04:16	36522	330548	989864	747528
02/19/2015 08:04:16	37122	333376	989864	750344
02/19/2015 08:04:16	38870	341772	1006056	758728
02/19/2015 08:04:16	39426	344544	1006056	761480
02/19/2015 08:04:16	40082	347132	1006056	764364
02/19/2015 08:04:16	40730	350748	1022248	767992
02/19/2015 08:04:16	41382	353688	1022248	770920
02/19/2015 08:04:16	42027	356768	1022248	773976
02/19/2015 08:04:16	42662	359232	1022248	776424
02/19/2015 08:04:16	43347	362160	1020200	779320
02/19/2015 08:04:17	44088	366684	1036392	783852
02/19/2015 08:04:17	44804	369460	1036392	786616
02/19/2015 08:04:17	45440	372308	1036392	789448
02/19/2015 08:04:17	47420	381360	1036392	798440
02/19/2015 08:04:17	48052	384696	1052584	801800
02/19/2015 08:04:17	48684	387388	1052584	804472
02/19/2015 08:04:17	49332	390668	1052584	807736
02/19/2015 08:04:17	49896	392604	1052584	809656
02/19/2015 08:04:17	50492	395680	1052584	812712
02/19/2015 08:04:17	51249	399544	1068776	816588
02/19/2015 08:04:18	51912	402880	1068776	819912
02/19/2015 08:04:18	52564	405248	1068776	822264
02/19/2015 08:04:18	53247	408564	1068776	825560
02/19/2015 08:04:18	53852	411560	1068776	828536
02/19/2015 08:04:18	56596	428024	1089128	844960
02/19/2015 08:04:18	57244	431692	1089128	848608
02/19/2015 08:04:18	57790	433784	1089128	850688
02/19/2015 08:04:18	58448	437268	1105320	854192
02/19/2015 08:04:18	58924	439332	1105320	856240
02/19/2015 08:04:18	59120	440420	1105320	857328
02/19/2015 08:04:18	59272	441132	1105320	858032
02/19/2015 08:04:19	59571	442388	1105320	859280
02/19/2015 08:04:19	60092	444676	1106716	862020
02/19/2015 08:04:19	60700	447636	1106716	864964
02/19/2015 08:04:19	61588	451740	1106716	869044
02/19/2015 08:04:19	62120	454296	1122908	871620
02/19/2015 08:04:19	62812	457704	1122908	875012
02/19/2015 08:04:19	63392	460120	1122908	877412
02/19/2015 08:04:19	64268	463988	1122908	881252
02/19/2015 08:04:19	64904	467332	1122908	884580
02/19/2015 08:04:19	65589	470204	1139100	887476
02/19/2015 08:04:19	66144	474164	1139100	891672
02/19/2015 08:04:19	66913	478336	1139100	895816
02/19/2015 08:04:20	67616	481608	1139100	899064
02/19/2015 08:04:20	68177	484052	1139100	901496
02/19/2015 08:04:20	68628	486124	1155292	903584
02/19/2015 08:04:20	71016	496752	1155292	914144
02/19/2015 08:04:20	71404	498840	1155292	916224
02/19/2015 08:04:20	72052	502484	1171484	919876
02/19/2015 08:04:20	72672	504836	1171484	922212
02/19/2015 08:04:20	73372	508376	1171484	925732
02/19/2015 08:04:20	74084	510956	1171484	928292
02/19/2015 08:04:20	74604	513488	1171484	930816
02/19/2015 08:04:21	75172	516800	1171484	934112
02/19/2015 08:04:21	75740	519540	1187676	936868
02/19/2015 08:04:21	76384	521156	1187676	938468
02/19/2015 08:04:21	77444	526788	1187676	944068
02/19/2015 08:04:21	78105	529804	1187676	947072
02/19/2015 08:04:21	78720	532960	1187676	950208
02/19/2015 08:04:21	79367	536440	1203868	953700
02/19/2015 08:04:21	80056	538920	1203868	956164
02/19/2015 08:04:21	80784	543004	1203868	960236
02/19/2015 08:04:21	81444	546348	1203868	963564
02/19/2015 08:04:21	82056	549376	1203868	966572
02/19/2015 08:04:21	82360	551052	1220060	968272
02/19/2015 08:04:22	82720	552212	1220060	969424
02/19/2015 08:04:22	83164	554336	1220060	971536
02/19/2015 08:04:22	83788	557124	1220060	974288
02/19/2015 08:04:22	83788	557124	1220060	974288
02/19/2015 08:04:22	83786	557144	1220060	974288
02/19/2015 08:04:22	83786	557176	1217128	971356
02/19/2015 08:04:22	83786	557176	1217128	971356
02/19/2015 08:04:22	83786	557176	1217128	971356
02/19/2015 08:04:22	83786	557176	1217128	971356
02/19/2015 08:04:22	83786	557176	1217128	971356
02/19/2015 08:04:23	83786	557176	1217128	971356
02/19/2015 08:04:23	83786	557176	1217128	971356
02/19/2015 08:04:23	83786	557176	1217128	971356
02/19/2015 08:04:23	83786	557496	1217128	971676
02/19/2015 08:04:23	83786	558840	1217128	973020
02/19/2015 08:04:23	83786	559804	1217128	973980
02/19/2015 08:04:23	83786	560444	1217128	974620
02/19/2015 08:04:23	83786	561088	1217128	975260
02/19/2015 08:04:23	79738	553892	1208804	968044
